id,release_date,movie,production_budget,domestic_gross,worldwide_gross,profit,profit_margin,domestic_profit_margin
12,2007-11-02,Martian Child,27000000,7500310,9352089,-17647911,-0.01887055501717317,-2.599851206150146
23,2016-08-19,Ben-Hur,95000000,26410477,91669648,-3330352,-0.00036329931145803024,-2.597057334481312
49,2012-09-28,Won't Back Down,19000000,5310554,5745503,-13254497,-0.023069341361409087,-2.5777811505164996
67,2004-12-17,Flight of the Phoenix,75000000,21009180,34009180,-40990820,-0.012052869254712993,-2.5698680291186995
83,2005-09-09,An Unfinished Life,30000000,8535575,18535575,-11464425,-0.006185092720349922,-2.5147017043374347
55,2019-01-25,The Kid Who Would Be King,59000000,16790790,28348446,-30651554,-0.010812428307357659,-2.513831094308249
95,2018-12-07,Ben is Back,13000000,3703182,9633111,-3366889,-0.003495121150373955,-2.5104944882536153
69,2011-11-23,A Dangerous Method,20000000,5702083,14807531,-5192469,-0.0035066406411710365,-2.5074901575441815
82,2017-04-14,The Lost City of Z,30000000,8574339,17121823,-12878177,-0.007521498732932818,-2.498811978392737
96,2007-04-06,The Hoax,25000000,7164995,7164995,-17835005,-0.024891859659357755,-2.4891859659357753
68,2014-12-31,A Most Violent Year,20000000,5749134,8846875,-11153125,-0.012606852702225361,-2.478784804807124
49,2001-08-24,The Curse of the Jade Scorpion,26000000,7496522,18496522,-7503478,-0.004056696713036104,-2.468275021403259
77,2006-06-02,Peaceful Warrior,10000000,2893666,3260179,-6739821,-0.02067316242451718,-2.455823858040285
