id,release_date,movie,production_budget,domestic_gross,profit,profitable,unprofitable,domestic_profit_margin
40,2017-11-01,A Bad Moms Christmas,28000000,72110659,44110659,True,False,61.170788912080255
86,2017-01-27,A Dogâs Purpose,25000000,64321890,39321890,True,False,61.13298287721334
90,2016-06-10,The Conjuring 2: The Enfield Poltergeist,40000000,102470008,62470008,True,False,60.964187686996176
41,2013-02-14,Safe Haven,28000000,71399120,43399120,True,False,60.78383038894597
91,2016-06-17,Central Intelligence,50000000,127440871,77440871,True,False,60.76611874380551
92,2013-12-18,Anchorman 2: The Legend Continues,50000000,127352707,77352707,True,False,60.73895782992661
38,2013-09-27,Baggage Claim,8500000,21569509,13069509,True,False,60.59251974627703
33,2014-12-03,Wild,15000000,37880356,22880356,True,False,60.40163930877524
65,2017-08-18,The Hitmanâs Bodyguard,30000000,75468583,45468583,True,False,60.248359241089766
42,2015-12-11,The Big Short,28000000,70259870,42259870,True,False,60.147947896857765
83,2018-12-21,Second Act,15700000,39282227,23582227,True,False,60.0328158584288
86,2012-02-24,Tyler Perry's Good Deeds,14000000,35025791,21025791,True,False,60.02945372454258
11,2015-06-19,Dope,7000000,17506470,10506470,True,False,60.014783105903135
16,2013-10-04,Gravity,110000000,274092705,164092705,True,False,59.86759297369845
42,2014-02-28,The Lunchbox,1700000,4231500,2531500,True,False,59.82512111544369
36,2019-02-08,The Prodigy,6000000,14856291,8856291,True,False,59.61306896856019
81,2016-11-11,Almost Christmas,17000000,42065185,25065185,True,False,59.58653218807905
37,2018-11-30,The Possession of Hannah Grace,6000000,14836174,8836174,True,False,59.55830660923767
13,2014-08-08,The Hundred-Foot Journey,22000000,54235441,32235441,True,False,59.43611853363559
13,2018-06-22,Jurassic World: Fallen Kingdom,170000000,417719760,247719760,True,False,59.302858931069004
12,2017-03-03,Before I Fall,5000000,12241072,7241072,True,False,59.153904167870266
96,2012-08-17,Sparkle,10000000,24397469,14397469,True,False,59.012141792249025
96,2019-03-08,Captain Marvel,175000000,426525952,251525952,True,False,58.97084358421407
46,2016-06-17,Finding Dory,200000000,486295561,286295561,True,False,58.87274817217589
87,2012-04-20,The Lucky One,25000000,60457138,35457138,True,False,58.64838987250769
3,2017-10-27,Let There Be Light,3000000,7233471,4233471,True,False,58.52613496342213
37,2016-12-16,Fences,24000000,57682904,33682904,True,False,58.39321820551891
13,2019-05-24,BrightBurn,7000000,16794432,9794432,True,False,58.31951923113565
80,2015-01-30,Black or White,9000000,21571189,12571189,True,False,58.27768232896202
35,2014-11-07,The Theory of Everything,15000000,35893537,20893537,True,False,58.20974678533353
