id,release_date,movie,production_budget,domestic_gross,worldwide_gross,profit,profit_margin,domestic_profit_margin,cost_revenue_ratio_in_%
72,2014-04-11,Oculus,5000000,27695246,44115496,39115496,0.8866611405661174,0.8194636003594263,553.90492
34,2008-04-04,Shine a Light,1000000,5505267,16173879,15173879,0.9381719128726016,0.8183557673042924,550.5267
54,2018-07-06,Sorry to Bother You,3200000,17493096,18285560,15085560,0.8249985234250414,0.8170706889163588,546.65925
73,2013-11-01,Dallas Buyers Club,5000000,27298285,60611845,55611845,0.9175078732548069,0.8168383105385558,545.9657
74,2015-08-26,No Escape,5000000,27288872,42844516,37844516,0.8832989500920023,0.8167751309031754,545.77744
54,2006-08-11,Step Up,12000000,65328121,110989157,98989157,0.891881330353739,0.816311875861239,544.4010083333334
89,2003-11-07,Elf,32000000,173840591,220678483,188678483,0.8549926591619718,0.8159233133301992,543.251846875
82,2007-06-01,Knocked Up,27500000,148761765,219265952,191765952,0.8745815310167262,0.8151406713949649,540.9518727272728
55,2012-02-03,Chronicle,12000000,64575175,123681790,111681790,0.9029768246400705,0.814170073871267,538.1264583333334
67,2014-01-17,Ride Along,25000000,134202565,153733800,128733800,0.8373812395192206,0.8137144398097012,536.81026
68,2001-07-13,Legally Blonde,18000000,96493426,141809235,123809235,0.8730689154341745,0.813458794591872,536.0745888888889
35,2012-03-23,October Baby,1000000,5355847,5391992,4391992,0.8145397841836561,0.8132881689861566,535.5847
83,2001-05-18,Shrek,50000000,267655011,491812794,441812794,0.8983353003216099,0.8131923635085614,535.310022
77,2012-06-08,Safety Not Guaranteed,750000,4010957,4422318,3672318,0.8304056831733946,0.8130122063138547,534.7942666666667
49,2018-07-04,The First Purge,13000000,69488745,136617305,123617305,0.9048436799423031,0.812919343988728,534.5288076923077
93,2011-05-06,Jumping the Broom,7000000,37295394,38158601,31158601,0.8165551195128983,0.812309262639778,532.7913428571429
36,2014-09-12,The Skeleton Twins,1000000,5284309,5797192,4797192,0.8275026944079132,0.8107604986763643,528.4309000000001
27,2011-06-24,Bad Teacher,19000000,100292856,215448997,196448997,0.9118120749478354,0.810554801630138,527.8571368421052
17,2008-10-24,Saw V,10800000,56746769,118209778,107409778,0.9086369995551468,0.8096807943373834,525.4330462962963
76,2005-07-15,Wedding Crashers,40000000,209218368,283218368,243218368,0.8587662223941633,0.808812197598253,523.04592
51,2015-06-05,Insidious Chapter 3,10000000,52218558,120453155,110453155,0.9169801737447226,0.8084972013206493,522.1855800000001
89,2008-11-21,Twilight,37000000,192769854,402280159,365280159,0.9080242980613917,0.8080612749750798,520.9996054054054
85,2011-05-13,Bridesmaids,32500000,169211718,289632023,257132023,0.8877886510498185,0.8079329234160958,520.65144
19,2008-10-01,Religulous,2500000,13011160,13881317,11381317,0.8199018147917809,0.8078572548489144,520.4463999999999
87,2010-07-09,The Kids Are All Right,4000000,20811365,36275469,32275469,0.8897326454966027,0.8077973261244518,520.284125
58,2009-02-20,Madea Goes To Jail,17500000,90508336,90508336,73008336,0.8066476440357936,0.8066476440357936,517.1904914285715
76,2015-02-27,The Lazarus Effect,5000000,25801570,38359310,33359310,0.8696535469485767,0.8062133428314634,516.0314
28,2016-08-12,Sausage Party,19000000,97670358,141344255,122344255,0.8655764254443875,0.8054681032294363,514.0545157894737
70,2018-03-23,Unsane,1500000,7690044,14244931,12744931,0.894699384644264,0.8049425985078889,512.6696
77,2001-03-16,Memento,5000000,25544867,39723096,34723096,0.8741286429436416,0.8042659607505492,510.89734
38,2012-03-23,The Hunger Games,80000000,408010692,677923379,597923379,0.8819925636463409,0.8039267069011025,510.013365
71,2004-01-30,You Got Served,8000000,40066497,50811858,42811858,0.8425564363342117,0.8003319331859733,500.8312125
