id,release_date,movie,production_budget,domestic_gross,worldwide_gross,profit,domestic_profit_margin,worldwide_profit_margin,Distributor,genre1,genre2,genre3,release_month,budget_tier
18,2013-09-27,Don Jon,5500000,24477704,41268579,18977704,77.53057231184755,86.67266929641556,Relativity Media,Comedy,Drama,Romance,Sep,mid_tier
95,2013-11-01,About Time,12000000,15323921,89309178,3323921,21.691060662607175,86.56353101805504,Universal Pictures,Comedy,Drama,Fantasy,Nov,mid_tier
28,2016-08-12,Sausage Party,19000000,97670358,141344255,78670358,80.54681032294363,86.55764254443875,Sony Pictures Entertainment (SPE),Adventure,Animation,Comedy,Aug,mid_tier
3,2018-10-05,Venom,116000000,213511408,853628605,97511408,45.67035031683178,86.41095210252473,Sony Pictures Entertainment (SPE),Action,Sci-Fi,Thriller,Oct,high_tier
90,2013-08-07,Were the Millers,37000000,150394119,267816276,113394119,75.39797417211507,86.18455885033663,Warner Bros.,Comedy,Crime,,Aug,mid_tier
35,2015-08-14,Straight Outta Compton,28000000,161197785,202182981,133197785,82.6300342774561,86.15115878620861,Universal Pictures,Biography,Drama,History,Aug,mid_tier
95,2018-07-13,Eighth Grade,2000000,13539710,14341016,11539710,85.2286348821356,86.05398669104058,A24,Comedy,Drama,,Jul,low_tier
36,2018-12-21,Aquaman,160000000,335061807,1146894640,175061807,52.24761621368561,86.04928522466545,Warner Bros.,Action,Adventure,Fantasy,Dec,high_tier
15,2018-05-18,Deadpool 2,110000000,324591735,786680557,214591735,66.1112751376741,86.01719604975568,Twentieth Century Fox,Action,Adventure,Comedy,May,high_tier
78,2019-02-13,Happy Death Day 2U,9000000,28051045,64179495,19051045,67.91563380259096,85.9768295154083,Universal Pictures,Drama,Horror,Mystery,Feb,mid_tier
37,2018-11-30,The Possession of Hannah Grace,6000000,14836174,42785387,8836174,59.55830660923767,85.97652044143015,Screen Gems,Horror,Mystery,Thriller,Nov,mid_tier
73,2014-08-22,If I Stay,11000000,50474843,78356170,39474843,78.2069653985848,85.96153946779175,Warner Bros.,Drama,Fantasy,Music,Aug,mid_tier
68,2015-07-24,Paper Towns,12000000,32000304,85450484,20000304,62.50035624661566,85.95677936710106,Twentieth Century Fox,Comedy,Drama,Mystery,Jul,mid_tier
61,2018-05-04,Overboard,12000000,50316123,85369830,38316123,76.15078570342155,85.94351189407313,Pantelion Films,Comedy,Romance,,May,mid_tier
