title,year,Domestic Gross (in millions),Foreign Gross (in millions),Total Gross (in millions)
Limitless,2011,79.2,82.6,161.8
Into The Storm,2014,47.6,114.1,161.7
The Predator (2018),2018,51.0,109.5,160.5
Johnny English Reborn,2011,8.3,151.8,160.1
Underworld Awakening,2012,62.3,97.8,160.1
Step Up 3-D,2010,42.4,116.9,159.3
"Three Billboards Outside Ebbing, Missouri",2017,54.5,104.7,159.2
Focus (2015),2015,53.9,105.2,159.1
Johnny English Strikes Again,2018,4.4,154.5,158.9
Final Destination 5,2011,42.6,115.3,157.9
Don't Breathe,2016,89.2,67.9,157.1
The Book of Eli,2010,94.8,62.3,157.1
Ip Man 3,2016,2.7,154.2,156.9
This Means War,2012,54.8,101.7,156.5
The Hateful Eight,2015,54.1,101.6,155.7
The Accountant,2016,86.3,68.9,155.2
The Monuments Men,2014,78.0,77.0,155.0
Lone Survivor,2013,125.1,29.7,154.8
Ride Along,2014,134.9,19.5,154.4
The Town,2010,92.2,61.8,154.0
Tower Heist,2011,78.0,74.9,152.9
Date Night,2010,98.7,53.6,152.3
47 Ronin,2013,38.4,113.4,151.8
Jackass Presents: Bad Grandpa,2013,102.0,49.8,151.8
Red Sparrow,2018,46.9,104.7,151.6
Planes: Fire & Rescue,2014,59.2,92.2,151.4
Midnight in Paris,2011,56.8,94.3,151.1
Duckweed,2017,0.472,150.6,151.072
Darkest Hour,2017,56.5,94.4,150.9
Gods of Egypt,2016,31.2,119.5,150.7
Happy Feet Two,2011,64.0,86.4,150.4
Goosebumps,2015,80.1,70.1,150.2
I Am Number Four,2011,55.1,94.8,149.9
Jack and Jill,2011,74.2,75.5,149.7
Friends with Benefits,2011,55.8,93.7,149.5
No Strings Attached,2011,70.7,78.6,149.3
Lights Out,2016,67.3,81.6,148.9
King Arthur: Legend of the Sword,2017,39.2,109.5,148.7
Red 2,2013,53.3,94.8,148.1
Arthur Christmas,2011,46.5,101.0,147.5
Source Code,2011,54.7,92.6,147.3
The Last Witch Hunter,2015,27.4,119.6,147.0
Mama,2013,71.6,74.8,146.4
The Secret World of Arrietty,2012,19.2,126.4,145.6
The Foreigner,2017,34.4,111.0,145.4
Pete's Dragon (2016),2016,76.2,67.5,143.7
"Crazy, Stupid, Love.",2011,84.4,58.5,142.9
Paranormal Activity 4,2012,53.9,88.9,142.8
Power Rangers (2017),2017,85.4,57.0,142.4
New Year's Eve,2011,54.5,87.5,142.0
The Taking of Tiger Mountain,2015,0.229,141.4,141.629
Trainwreck,2015,110.2,30.6,140.8
Sausage Party,2016,97.7,43.0,140.7
Girls Trip,2017,115.2,25.4,140.6
Step Up Revolution,2012,35.1,105.4,140.5
Lion,2016,51.7,88.6,140.3
Legend of the Guardians: The Owls of Ga'Hoole,2010,55.7,84.4,140.1
The Wolfman,2010,62.0,77.8,139.8
Mr. Six,2015,1.4,137.8,139.2
Let's Be Cops,2014,82.4,55.8,138.2
Escape Plan,2013,25.1,112.2,137.3
The First Purge,2018,69.5,67.5,137.0
The Best Exotic Marigold Hotel,2012,46.4,90.4,136.8
The Bounty Hunter,2010,67.099999,69.3,136.399999
Saw 3D,2010,45.7,90.4,136.1
Jack Ryan: Shadow Recruit,2014,50.6,84.9,135.5
Contagion,2011,75.7,59.8,135.5
American Made,2017,51.3,83.5,134.8
Wall Street: Money Never Sleeps,2010,52.5,82.3,134.8
Last Vegas,2013,63.9,70.5,134.4
Annie (2014),2014,85.9,47.9,133.8
Point Break (2015),2015,28.8,104.9,133.7
The Big Short,2015,70.3,63.2,133.5
The Artist,2011,44.7,88.8,133.5
Zero Dark Thirty,2012,95.7,37.1,132.8
A Wrinkle in Time,2018,100.5,32.2,132.7
Ghost Rider: Spirit of Vengeance,2012,51.8,80.8,132.6
The Three Musketeers (2011),2011,20.4,111.9,132.3
2 Guns,2013,75.6,56.3,131.9
The House With A Clock In Its Walls,2018,68.5,62.9,131.4
Unknown,2011,63.7,67.099999,130.799999
A Bad Moms Christmas,2017,72.1,58.4,130.5
Cloud Atlas,2012,27.1,103.4,130.5
The Fighter,2010,93.6,35.6,129.2
Pan,2015,35.1,93.3,128.4
Blended,2014,46.3,81.7,128.0
